Year,Production,Sales,Exports
1990,17473,11649,5824
1991,96259,64173,32086
1992,14028,10521,3507
1993,429004,321753,107251
1994,10951,8214,2737
1995,35413,26560,8853
1996,25811,17208,8603
1997,180338,120226,60112
1998,65435,49077,16358
1999,218895,145930,72965
2000,12487,8325,4162
2001,264492,176328,88164
2002,39459,26306,13153
2003,357915,268437,89478
2004,420228,315171,105057
2005,191856,127904,63952
2006,33631,22421,11210
2007,105200,78900,26300
2008,390741,260494,130247
2009,357112,267834,89278
2010,17629,11753,5876
2011,177047,132786,44261
2012,359487,239658,119829
2013,141456,94304,47152
2014,37202,27902,9300
2015,12888,9666,3222
2016,326867,217912,108955
2017,85063,56709,28354
2018,40017,26678,13339
2019,37854,25236,12618
2020,339262,226175,113087
