Year,Production,Sales,Exports
1990,216639000000,120762800000,209678500000
1991,256671900000,216804800000,156433000000
1992,342671100000,311486400000,181348500000
1993,326759700000,308580000000,158510000000
1994,337264200000,301445200000,185219500000
1995,387949500000,350694800000,208151000000
1996,327002100000,289045600000,183207000000
1997,360223800000,303742400000,220621500000
1998,300756000000,264912800000,169627500000
1999,418069800000,362942000000,242694500000
2000,270619500000,211044400000,186755500000
2001,435104400000,446870400000,166194500000
2002,379815600000,367831200000,173130500000
2003,231311400000,119023600000,236402500000
2004,404980200000,386725600000,191229500000
2005,284604300000,216677600000,203024500000
2006,240508500000,156979200000,204180000000
2007,311294100000,279381200000,169424000000
2008,409836600000,347828400000,248145000000
2009,341290500000,329328000000,157001000000
2010,223090200000,159288400000,172207000000
2011,291821400000,207147200000,226992500000
2012,421017900000,380294400000,225917000000
2013,359322900000,334798400000,180279000000
2014,367865100000,321264400000,211190000000
2015,375406200000,375101200000,156360000000
2016,413947800000,410991600000,175738500000
2017,377232900000,303838000000,248685500000
2018,442019400000,448554000000,175556500000
2019,320328900000,287879200000,173814000000
2020,319258200000,302643600000,153349500000
