Year,Production,Sales,Exports
1990,722130,301907,419357
1991,855573,542012,312866
1992,1142237,778716,362697
1993,1089199,771450,317020
1994,1124214,753613,370439
1995,1293165,876737,416302
1996,1090007,722614,366414
1997,1200746,759356,441243
1998,1002520,662282,339255
1999,1393566,907355,485389
2000,902065,527611,373511
2001,1450348,1117176,332389
2002,1266052,919578,346261
2003,771038,297559,472805
2004,1349934,966814,382459
2005,948681,541694,406049
2006,801695,392448,408360
2007,1037647,698453,338848
2008,1366122,869571,496290
2009,1137635,823320,314002
2010,743634,398221,344414
2011,972738,517868,453985
2012,1403393,950736,451834
2013,1197743,836996,360558
2014,1226217,803161,422380
2015,1251354,937753,312720
2016,1379826,1027479,351477
2017,1257443,759595,497371
2018,1473398,1121385,351113
2019,1067763,719698,347628
2020,1064194,756609,306699
