Year,Production,Sales,Exports
1990,431990,323993,107997
1991,386044,289533,96511
1992,314466,209644,104822
1993,173312,115542,57770
1994,801716,601287,200429
1995,921336,691002,230334
1996,755534,503690,251844
1997,264918,176612,88306
1998,732524,549393,183131
1999,822854,617141,205713
2000,830745,623059,207686
2001,61231,40821,20410
2002,111690,74460,37230
2003,294238,196159,98079
2004,517587,345058,172529
2005,74764,56073,18691
2006,79266,59450,19816
2007,274962,206222,68740
2008,398297,265532,132765
2009,210460,140307,70153
2010,410238,307679,102559
2011,348216,232144,116072
2012,249411,187059,62352
2013,205990,137327,68663
2014,217403,144936,72467
2015,112052,84039,28013
2016,65789,49342,16447
2017,448229,298820,149409
2018,267943,200958,66985
2019,940977,627318,313659
2020,484114,363086,121028
