Year,Production,Sales,Exports
1990,31539,21026,10513
1991,3397,2548,849
1992,7566,5044,2522
1993,3202,2402,800
1994,134,90,44
1995,85141,63856,21285
1996,141137,105853,35284
1997,22168,16626,5542
1998,3016,2262,754
1999,6064,4548,1516
2000,873,582,291
2001,440305,293537,146768
2002,105078,70052,35026
2003,9184,6123,3061
2004,54679,36453,18226
2005,13904,10428,3476
2006,31405,20937,10468
2007,22703,17028,5675
2008,447,336,111
2009,115567,77045,38522
2010,46146,34610,11536
2011,83483,55656,27827
2012,96272,64182,32090
2013,5153,3436,1717
2014,4489,3367,1122
2015,11770,7847,3923
2016,1255,942,313
2017,9514,7136,2378
2018,520301,346868,173433
2019,734,490,244
2020,16227,10818,5409
